path	# lines of code
src/main/java/org/junit/internal/runners/InitializationError.java	20
src/main/java/org/junit/internal/runners/JUnit38ClassRunner.java	160
src/main/java/org/junit/internal/runners/JUnit4ClassRunner.java	121
src/main/java/org/junit/internal/runners/MethodRoadie.java	144
src/main/java/org/junit/internal/runners/MethodValidator.java	78
src/main/java/org/junit/internal/runners/model/EachTestNotifier.java	44
src/main/java/org/junit/internal/runners/model/MultipleFailureException.java	9
src/main/java/org/junit/internal/runners/model/ReflectiveCallable.java	12
src/main/java/org/junit/internal/runners/package-info.java	1
src/main/java/org/junit/internal/runners/rules/RuleMemberValidator.java	176
src/main/java/org/junit/internal/runners/rules/ValidationError.java	9
src/main/java/org/junit/internal/runners/statements/ExpectException.java	34
src/main/java/org/junit/internal/runners/statements/Fail.java	12
src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java	188
src/main/java/org/junit/internal/runners/statements/InvokeMethod.java	15
src/main/java/org/junit/internal/runners/statements/RunAfters.java	37
src/main/java/org/junit/internal/runners/statements/RunBefores.java	24
src/main/java/org/junit/internal/runners/SuiteMethod.java	24
src/main/java/org/junit/internal/runners/TestClass.java	88
src/main/java/org/junit/internal/runners/TestMethod.java	53
src/main/java/org/junit/internal/SerializableMatcherDescription.java	25
src/main/java/org/junit/internal/SerializableValueDescription.java	19
src/main/java/org/junit/internal/TextListener.java	76
src/main/java/org/junit/internal/Throwables.java	202
src/main/java/org/junit/matchers/JUnitMatchers.java	46
src/main/java/org/junit/matchers/package-info.java	1
src/main/java/org/junit/package-info.java	1
src/main/java/org/junit/Rule.java	11
src/main/java/org/junit/rules/DisableOnDebug.java	36
src/main/java/org/junit/rules/ErrorCollector.java	60
src/main/java/org/junit/rules/ExpectedException.java	88
src/main/java/org/junit/rules/ExpectedExceptionMatcherBuilder.java	32
src/main/java/org/junit/rules/ExternalResource.java	36
src/main/java/org/junit/rules/MethodRule.java	7
src/main/java/org/junit/rules/RuleChain.java	33
src/main/java/org/junit/rules/RunRules.java	20
src/main/java/org/junit/rules/Stopwatch.java	72
src/main/java/org/junit/rules/TemporaryFolder.java	193
src/main/java/org/junit/rules/TestName.java	12
src/main/java/org/junit/rules/TestRule.java	6
src/main/java/org/junit/rules/TestWatcher.java	93
src/main/java/org/junit/rules/TestWatchman.java	35
src/main/java/org/junit/rules/Timeout.java	85
src/main/java/org/junit/rules/Verifier.java	16
src/main/java/org/junit/runner/Computer.java	26
src/main/java/org/junit/runner/Describable.java	4
src/main/java/org/junit/runner/Description.java	149
src/main/java/org/junit/runner/FilterFactories.java	44
src/main/java/org/junit/runner/FilterFactory.java	11
src/main/java/org/junit/runner/FilterFactoryParams.java	18
src/main/java/org/junit/runner/JUnitCommandLineParseResult.java	103
src/main/java/org/junit/runner/JUnitCore.java	68
src/main/java/org/junit/runner/manipulation/Alphanumeric.java	16
src/main/java/org/junit/runner/manipulation/Filter.java	68
src/main/java/org/junit/runner/manipulation/Filterable.java	4
src/main/java/org/junit/runner/manipulation/InvalidOrderingException.java	12
src/main/java/org/junit/runner/manipulation/NoTestsRemainException.java	4
src/main/java/org/junit/runner/manipulation/Orderable.java	4
src/main/java/org/junit/runner/manipulation/Orderer.java	38
src/main/java/org/junit/runner/manipulation/Ordering.java	92
src/main/java/org/junit/runner/manipulation/package-info.java	1
src/main/java/org/junit/runner/manipulation/Sortable.java	4
src/main/java/org/junit/runner/manipulation/Sorter.java	38
src/main/java/org/junit/runner/notification/Failure.java	35
src/main/java/org/junit/runner/notification/package-info.java	1
src/main/java/org/junit/runner/notification/RunListener.java	33
src/main/java/org/junit/runner/notification/RunNotifier.java	143
src/main/java/org/junit/runner/notification/StoppedByUserException.java	4
src/main/java/org/junit/runner/notification/SynchronizedRunListener.java	85
src/main/java/org/junit/runner/OrderWith.java	15
src/main/java/org/junit/runner/OrderWithValidator.java	17
src/main/java/org/junit/runner/package-info.java	1
src/main/java/org/junit/runner/Request.java	59
src/main/java/org/junit/runner/Result.java	151
src/main/java/org/junit/runner/Runner.java	9
src/main/java/org/junit/runner/RunWith.java	12
src/main/java/org/junit/runners/AllTests.java	7
src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java	265
src/main/java/org/junit/runners/JUnit4.java	8
src/main/java/org/junit/runners/MethodSorters.java	16
src/main/java/org/junit/runners/model/Annotatable.java	6
src/main/java/org/junit/runners/model/FrameworkField.java	60
src/main/java/org/junit/runners/model/FrameworkMember.java	34
src/main/java/org/junit/runners/model/FrameworkMethod.java	123
src/main/java/org/junit/runners/model/InitializationError.java	19
src/main/java/org/junit/runners/model/InvalidTestClassError.java	23
src/main/java/org/junit/runners/model/MemberValueConsumer.java	4
src/main/java/org/junit/runners/model/MultipleFailureException.java	66
src/main/java/org/junit/runners/model/NoGenericTypeParametersValidator.java	50
src/main/java/org/junit/runners/model/RunnerBuilder.java	66
src/main/java/org/junit/runners/model/RunnerScheduler.java	5
src/main/java/org/junit/runners/model/Statement.java	4
src/main/java/org/junit/runners/model/TestClass.java	239
src/main/java/org/junit/runners/model/TestTimedOutException.java	19
src/main/java/org/junit/runners/package-info.java	1
src/main/java/org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParameters.java	191
src/main/java/org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParametersFactory.java	10
src/main/java/org/junit/runners/parameterized/ParametersRunnerFactory.java	7
src/main/java/org/junit/runners/parameterized/TestWithParameters.java	57
src/main/java/org/junit/runners/Parameterized.java	232
src/main/java/org/junit/runners/ParentRunner.java	357
