Metric		Current
HIGH_RISK_FILE_SIZE_LOC		650
VERY_HIGH_RISK_FILE_SIZE_LOC		0
NUMBER_OF_UNITS		1,345
LINES_OF_CODE_IN_UNITS		7,791
LINES_OF_CODE_OUTSIDE_UNITS		5,669
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		4,936
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		63.36
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		1,166
UNIT_SIZE_LOW_RISK_LOC		2,129
UNIT_SIZE_LOW_RISK_PERCENTAGE		27.33
UNIT_SIZE_LOW_RISK_COUNT		153
UNIT_SIZE_MEDIUM_RISK_LOC		675
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		8.66
UNIT_SIZE_MEDIUM_RISK_COUNT		25
UNIT_SIZE_HIGH_RISK_LOC		51
UNIT_SIZE_HIGH_RISK_PERCENTAGE		0.65
UNIT_SIZE_HIGH_RISK_COUNT		1
UNIT_SIZE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_SRC_NEGLIGIBLE_RISK_LOC		4,936
UNIT_SIZE_COMPONENT_SRC_NEGLIGIBLE_RISK_PERCENTAGE		63.36
UNIT_SIZE_COMPONENT_SRC_NEGLIGIBLE_RISK_COUNT		1,166
UNIT_SIZE_COMPONENT_SRC_LOW_RISK_LOC		2,129
UNIT_SIZE_COMPONENT_SRC_LOW_RISK_PERCENTAGE		27.33
UNIT_SIZE_COMPONENT_SRC_LOW_RISK_COUNT		153
UNIT_SIZE_COMPONENT_SRC_MEDIUM_RISK_LOC		675
UNIT_SIZE_COMPONENT_SRC_MEDIUM_RISK_PERCENTAGE		8.66
UNIT_SIZE_COMPONENT_SRC_MEDIUM_RISK_COUNT		25
UNIT_SIZE_COMPONENT_SRC_HIGH_RISK_LOC		51
UNIT_SIZE_COMPONENT_SRC_HIGH_RISK_PERCENTAGE		0.65
UNIT_SIZE_COMPONENT_SRC_HIGH_RISK_COUNT		1
UNIT_SIZE_COMPONENT_SRC_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_SRC_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_SRC_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JAVA_NEGLIGIBLE_RISK_LOC		4,925
UNIT_SIZE_EXTENSION_JAVA_NEGLIGIBLE_RISK_PERCENTAGE		63.3
UNIT_SIZE_EXTENSION_JAVA_NEGLIGIBLE_RISK_COUNT		1,163
UNIT_SIZE_EXTENSION_JAVA_LOW_RISK_LOC		2,129
UNIT_SIZE_EXTENSION_JAVA_LOW_RISK_PERCENTAGE		27.37
UNIT_SIZE_EXTENSION_JAVA_LOW_RISK_COUNT		153
UNIT_SIZE_EXTENSION_JAVA_MEDIUM_RISK_LOC		675
UNIT_SIZE_EXTENSION_JAVA_MEDIUM_RISK_PERCENTAGE		8.68
